TOA5,Daylight Savings,1865,,,,,,
3/11/20 14:55,3/11/20 15:55,0.005,0.3,1,18.50,#N/A,#N/A,#N/A
3/11/20 15:00,3/11/20 16:00,0.005,0.3,1,20.00,#N/A,#N/A,#N/A
3/11/20 15:05,3/11/20 16:05,0.006666667,0.40000002,1,22.00,#N/A,#N/A,#N/A
3/11/20 15:10,3/11/20 16:10,0.008333334,0.50000004,1,24.50,#N/A,#N/A,24.500001
3/11/20 15:15,3/11/20 16:15,0.006666667,0.40000002,2,26.50,0.40000002,2,#N/A
3/11/20 15:20,3/11/20 16:20,0.01166667,0.7000002,2,30.00,#N/A,#N/A,#N/A
3/11/20 15:25,3/11/20 16:25,0.01333333,0.7999998,2,34.00,#N/A,#N/A,34.0000011
3/11/20 15:30,3/11/20 16:30,0.01333333,0.7999998,3,38.00,0.7999998,3,#N/A
3/11/20 15:35,3/11/20 16:35,0.01666667,1.0000002,3,43.00,#N/A,#N/A,#N/A
3/11/20 15:40,3/11/20 16:40,0.01666667,1.0000002,3,48.00,#N/A,#N/A,48.0000021
3/11/20 15:45,3/11/20 16:45,0.01666667,1.0000002,4,53.00,1.0000002,4,#N/A
3/11/20 15:50,3/11/20 16:50,0.01666667,1.0000002,4,58.00,#N/A,#N/A,58.0000041
3/11/20 15:55,3/11/20 16:55,0.01833333,1.0999998,5,63.50,1.0999998,5,#N/A
3/11/20 16:00,3/11/20 17:00,0.02333333,1.3999998,5,70.50,#N/A,#N/A,70.5000021
3/11/20 16:05,3/11/20 17:05,0.03,1.8,6,79.50,1.8,6,79.5000021
3/11/20 16:10,3/11/20 17:10,0.03166667,1.9000002,7,89.00,1.9000002,7,#N/A
3/11/20 16:15,3/11/20 17:15,0.03166667,1.9000002,7,98.50,#N/A,#N/A,98.5000041
3/11/20 16:20,3/11/20 17:20,0.02833333,1.6999998,8,107.00,1.6999998,8,107.0000031
3/11/20 16:25,3/11/20 17:25,0.02666667,1.6000002,9,115.00,1.6000002,9,#N/A
3/11/20 16:30,3/11/20 17:30,0.025,1.5,9,122.50,#N/A,#N/A,122.5000041
3/11/20 16:35,3/11/20 17:35,0.025,1.5,10,130.00,1.5,10,#N/A
3/11/20 16:40,3/11/20 17:40,0.02666667,1.6000002,10,138.00,#N/A,#N/A,138.0000051
3/11/20 16:45,3/11/20 17:45,0.03,1.8,11,147.00,1.8,11,147.0000051
3/11/20 16:50,3/11/20 17:50,0.03166667,1.9000002,12,156.50,1.9000002,12,156.5000061
3/11/20 16:55,3/11/20 17:55,0.02833333,1.6999998,13,165.00,1.6999998,13,#N/A
3/11/20 17:00,3/11/20 18:00,0.02833333,1.6999998,13,173.50,#N/A,#N/A,173.5000041
3/11/20 17:05,3/11/20 18:05,0.02666667,1.6000002,14,181.50,1.6000002,14,181.5000051
3/11/20 17:10,3/11/20 18:10,0.025,1.5,15,189.00,1.5,15,#N/A
3/11/20 17:15,3/11/20 18:15,0.02333333,1.3999998,15,196.00,#N/A,#N/A,196.0000041
3/11/20 17:20,3/11/20 18:20,0.025,1.5,16,203.50,1.5,16,#N/A
3/11/20 17:25,3/11/20 18:25,0.025,1.5,16,211.00,#N/A,#N/A,211.0000041
3/11/20 17:30,3/11/20 18:30,0.025,1.5,17,218.50,1.5,17,218.5000041
3/11/20 17:35,3/11/20 18:35,0.025,1.5,18,226.00,1.5,18,#N/A
3/11/20 17:40,3/11/20 18:40,0.025,1.5,18,233.50,#N/A,#N/A,233.5000041
3/11/20 17:45,3/11/20 18:45,0.02333333,1.3999998,19,240.50,1.3999998,19,#N/A
3/11/20 17:50,3/11/20 18:50,0.02166667,1.3000002,19,247.00,#N/A,#N/A,247.0000041
3/11/20 17:55,3/11/20 18:55,0.02,1.2,20,253.00,1.2,20,#N/A
3/11/20 18:00,3/11/20 19:00,0.02333333,1.3999998,20,260.00,#N/A,#N/A,260.0000031
3/11/20 18:05,3/11/20 19:05,0.02,1.2,21,266.00,1.2,21,#N/A
3/11/20 18:10,3/11/20 19:10,0.02333333,1.3999998,21,273.00,#N/A,#N/A,273.0000021
3/11/20 18:15,3/11/20 19:15,0.02,1.2,22,279.00,1.2,22,#N/A
3/11/20 18:20,3/11/20 19:20,0.02,1.2,22,285.00,#N/A,#N/A,285.0000021
3/11/20 18:25,3/11/20 19:25,0.02,1.2,23,291.00,1.2,23,#N/A
3/11/20 18:30,3/11/20 19:30,0.02,1.2,23,297.00,#N/A,#N/A,297.0000021
3/11/20 18:35,3/11/20 19:35,0.01666667,1.0000002,24,302.00,1.0000002,24,#N/A
3/11/20 18:40,3/11/20 19:40,0.01833333,1.0999998,24,307.50,#N/A,#N/A,#N/A
3/11/20 18:45,3/11/20 19:45,0.01666667,1.0000002,24,312.50,#N/A,#N/A,312.5000031
3/11/20 18:50,3/11/20 19:50,0.01666667,1.0000002,25,317.50,1.0000002,25,#N/A
3/11/20 18:55,3/11/20 19:55,0.015,0.9,25,322.00,#N/A,#N/A,322.0000041
3/11/20 19:00,3/11/20 20:00,0.01333333,0.7999998,26,326.00,0.7999998,26,#N/A
3/11/20 19:05,3/11/20 20:05,0.015,0.9,26,330.50,#N/A,#N/A,#N/A
3/11/20 19:10,3/11/20 20:10,0.01333333,0.7999998,26,334.50,#N/A,#N/A,334.5000021
3/11/20 19:15,3/11/20 20:15,0.01333333,0.7999998,27,338.50,0.7999998,27,#N/A
3/11/20 19:20,3/11/20 20:20,0.01333333,0.7999998,27,342.50,#N/A,#N/A,#N/A
3/11/20 19:25,3/11/20 20:25,0.01166667,0.7000002,27,346.00,#N/A,#N/A,#N/A
3/11/20 19:30,3/11/20 20:30,0.01166667,0.7000002,27,349.50,#N/A,#N/A,349.5000021
3/11/20 19:35,3/11/20 20:35,0.01,0.6,28,352.50,0.6,28,#N/A
3/11/20 19:40,3/11/20 20:40,0.01166667,0.7000002,28,356.00,#N/A,#N/A,#N/A
3/11/20 19:45,3/11/20 20:45,0.01,0.6,28,359.00,#N/A,#N/A,#N/A
3/11/20 19:50,3/11/20 20:50,0.008333334,0.50000004,28,361.50,#N/A,#N/A,361.5000033
3/11/20 19:55,3/11/20 20:55,0.01,0.6,29,364.50,0.6,29,#N/A
3/11/20 20:00,3/11/20 21:00,0.008333334,0.50000004,29,367.00,#N/A,#N/A,#N/A
3/11/20 20:05,3/11/20 21:05,0.008333334,0.50000004,29,369.50,#N/A,#N/A,#N/A
3/11/20 20:10,3/11/20 21:10,0.008333334,0.50000004,29,372.00,#N/A,#N/A,#N/A
3/11/20 20:15,3/11/20 21:15,0.008333334,0.50000004,29,374.50,#N/A,#N/A,374.5000041
3/11/20 20:20,3/11/20 21:20,0.006666667,0.40000002,30,376.50,0.40000002,30,#N/A
3/11/20 20:25,3/11/20 21:25,0.008333334,0.50000004,30,379.00,#N/A,#N/A,#N/A
3/11/20 20:30,3/11/20 21:30,0.006666667,0.40000002,30,381.00,#N/A,#N/A,#N/A
3/11/20 20:35,3/11/20 21:35,0.006666667,0.40000002,30,383.00,#N/A,#N/A,#N/A
3/11/20 20:40,3/11/20 21:40,0.006666667,0.40000002,30,385.00,#N/A,#N/A,#N/A
3/11/20 20:45,3/11/20 21:45,0.006666667,0.40000002,30,387.00,#N/A,#N/A,387.0000048
3/11/20 20:50,3/11/20 21:50,0.006666667,0.40000002,31,389.00,0.40000002,31,#N/A
3/11/20 20:55,3/11/20 21:55,0.005,0.3,31,390.50,#N/A,#N/A,#N/A
3/11/20 21:00,3/11/20 22:00,0.005,0.3,31,392.00,#N/A,#N/A,#N/A
3/11/20 21:05,3/11/20 22:05,0.006666667,0.40000002,31,394.00,#N/A,#N/A,#N/A
3/11/20 21:10,3/11/20 22:10,0.005,0.3,31,395.50,#N/A,#N/A,#N/A
3/11/20 21:15,3/11/20 22:15,0.005,0.3,31,397.00,#N/A,#N/A,#N/A
3/11/20 21:20,3/11/20 22:20,0.005,0.3,31,398.50,#N/A,#N/A,#N/A
3/11/20 21:25,3/11/20 22:25,0.005,0.3,31,400.00,#N/A,#N/A,400.000005
3/11/20 21:30,3/11/20 22:30,0.003333333,0.19999998,32,401.00,0.19999998,32,#N/A
3/11/20 21:35,3/11/20 22:35,0.005,0.3,32,402.50,#N/A,#N/A,#N/A
3/11/20 21:40,3/11/20 22:40,0.005,0.3,32,404.00,#N/A,#N/A,#N/A
3/11/20 21:45,3/11/20 22:45,0.003333333,0.19999998,32,405.00,#N/A,#N/A,#N/A
3/11/20 21:50,3/11/20 22:50,0.003333333,0.19999998,32,406.00,#N/A,#N/A,#N/A
3/11/20 21:55,3/11/20 22:55,0.005,0.3,32,407.50,#N/A,#N/A,#N/A
3/11/20 22:00,3/11/20 23:00,0.003333333,0.19999998,32,408.50,#N/A,#N/A,#N/A
3/11/20 22:05,3/11/20 23:05,0.003333333,0.19999998,32,409.50,#N/A,#N/A,#N/A
3/11/20 22:10,3/11/20 23:10,0.005,0.3,32,411.00,#N/A,#N/A,411.0000045
3/11/20 22:15,3/11/20 23:15,0.01,0.6,33,414.00,0.6,33,#N/A
3/11/20 22:20,3/11/20 23:20,0.005,0.3,33,415.50,#N/A,#N/A,#N/A
3/11/20 22:25,3/11/20 23:25,0.001666667,0.10000002,33,416.00,#N/A,#N/A,#N/A
3/11/20 22:30,3/11/20 23:30,0.001666667,0.10000002,33,416.50,#N/A,#N/A,#N/A
3/11/20 22:35,3/11/20 23:35,0,0,33,416.50,#N/A,#N/A,#N/A
3/11/20 22:40,3/11/20 23:40,0.001666667,0.10000002,33,417.00,#N/A,#N/A,#N/A
3/11/20 22:45,3/11/20 23:45,0,0,33,417.00,#N/A,#N/A,#N/A
3/11/20 22:50,3/11/20 23:50,0,0,33,417.00,#N/A,#N/A,#N/A
3/11/20 22:55,3/11/20 23:55,0.001666667,0.10000002,33,417.50,#N/A,#N/A,#N/A
3/11/20 23:00,3/12/20 0:00,0,0,33,417.50,#N/A,#N/A,#N/A
3/11/20 23:05,3/12/20 0:05,0,0,33,417.50,#N/A,#N/A,#N/A
3/11/20 23:10,3/12/20 0:10,0.001666667,0.10000002,33,418.00,#N/A,#N/A,#N/A
3/11/20 23:15,3/12/20 0:15,0,0,33,418.00,#N/A,#N/A,#N/A
3/11/20 23:20,3/12/20 0:20,0,0,33,418.00,#N/A,#N/A,#N/A
3/11/20 23:25,3/12/20 0:25,0.001666667,0.10000002,33,418.50,#N/A,#N/A,#N/A
3/11/20 23:30,3/12/20 0:30,0,0,33,418.50,#N/A,#N/A,#N/A
3/11/20 23:35,3/12/20 0:35,0.001666667,0.10000002,33,419.00,#N/A,#N/A,#N/A
3/11/20 23:40,3/12/20 0:40,0,0,33,419.00,#N/A,#N/A,#N/A
3/11/20 23:45,3/12/20 0:45,0,0,33,419.00,#N/A,#N/A,#N/A
3/11/20 23:50,3/12/20 0:50,0.001666667,0.10000002,33,419.50,#N/A,#N/A,#N/A
3/11/20 23:55,3/12/20 0:55,0,0,33,419.50,#N/A,#N/A,#N/A
3/12/20 0:00,3/12/20 1:00,0.001666667,0.10000002,33,420.00,#N/A,#N/A,#N/A
3/12/20 0:05,3/12/20 1:05,0,0,33,420.00,#N/A,#N/A,#N/A
3/12/20 0:10,3/12/20 1:10,0,0,33,420.00,#N/A,#N/A,#N/A
3/12/20 0:15,3/12/20 1:15,0.001666667,0.10000002,33,420.50,#N/A,#N/A,#N/A
3/12/20 0:20,3/12/20 1:20,0,0,33,420.50,#N/A,#N/A,#N/A
3/12/20 0:25,3/12/20 1:25,0.001666667,0.10000002,33,421.00,#N/A,#N/A,#N/A
3/12/20 0:30,3/12/20 1:30,0,0,33,421.00,#N/A,#N/A,#N/A
3/12/20 0:35,3/12/20 1:35,0.001666667,0.10000002,33,421.50,#N/A,#N/A,#N/A
3/12/20 0:40,3/12/20 1:40,0,0,33,421.50,#N/A,#N/A,#N/A
3/12/20 0:45,3/12/20 1:45,0.001666667,0.10000002,33,422.00,#N/A,#N/A,#N/A
3/12/20 0:50,3/12/20 1:50,0,0,33,422.00,#N/A,#N/A,#N/A
3/12/20 0:55,3/12/20 1:55,0,0,33,422.00,#N/A,#N/A,#N/A
3/12/20 1:00,3/12/20 2:00,0.001666667,0.10000002,33,422.50,#N/A,#N/A,#N/A
3/12/20 1:05,3/12/20 2:05,0,0,33,422.50,#N/A,#N/A,#N/A
3/12/20 1:10,3/12/20 2:10,0.001666667,0.10000002,33,423.00,#N/A,#N/A,#N/A
3/12/20 1:15,3/12/20 2:15,0,0,33,423.00,#N/A,#N/A,#N/A
3/12/20 1:20,3/12/20 2:20,0.001666667,0.10000002,33,423.50,#N/A,#N/A,#N/A
3/12/20 1:25,3/12/20 2:25,0,0,33,423.50,#N/A,#N/A,#N/A
3/12/20 1:30,3/12/20 2:30,0.001666667,0.10000002,33,424.00,#N/A,#N/A,#N/A
3/12/20 1:35,3/12/20 2:35,0,0,33,424.00,#N/A,#N/A,#N/A
3/12/20 1:40,3/12/20 2:40,0.001666667,0.10000002,33,424.50,#N/A,#N/A,#N/A
3/12/20 1:45,3/12/20 2:45,0,0,33,424.50,#N/A,#N/A,#N/A
3/12/20 1:50,3/12/20 2:50,0.001666667,0.10000002,33,425.00,#N/A,#N/A,425.0000064
3/12/20 1:55,3/12/20 2:55,0,0,34,425.00,0,34,#N/A
3/12/20 2:00,3/12/20 3:00,0,0,34,425.00,#N/A,#N/A,#N/A
3/12/20 2:05,3/12/20 3:05,0.001666667,0.10000002,34,425.50,#N/A,#N/A,#N/A
3/12/20 2:10,3/12/20 3:10,0,0,34,425.50,#N/A,#N/A,#N/A
3/12/20 2:15,3/12/20 3:15,0.001666667,0.10000002,34,426.00,#N/A,#N/A,#N/A
3/12/20 2:20,3/12/20 3:20,0,0,34,426.00,#N/A,#N/A,#N/A
3/12/20 2:25,3/12/20 3:25,0.001666667,0.10000002,34,426.50,#N/A,#N/A,#N/A
3/12/20 2:30,3/12/20 3:30,0,0,34,426.50,#N/A,#N/A,#N/A
3/12/20 2:35,3/12/20 3:35,0,0,34,426.50,#N/A,#N/A,#N/A
3/12/20 2:40,3/12/20 3:40,0.001666667,0.10000002,34,427.00,#N/A,#N/A,#N/A
3/12/20 2:45,3/12/20 3:45,0,0,34,427.00,#N/A,#N/A,#N/A
3/12/20 2:50,3/12/20 3:50,0.001666667,0.10000002,34,427.50,#N/A,#N/A,#N/A
3/12/20 2:55,3/12/20 3:55,0,0,34,427.50,#N/A,#N/A,#N/A
3/12/20 3:00,3/12/20 4:00,0.001666667,0.10000002,34,428.00,#N/A,#N/A,#N/A
3/12/20 3:05,3/12/20 4:05,0,0,34,428.00,#N/A,#N/A,#N/A
3/12/20 3:10,3/12/20 4:10,0.001666667,0.10000002,34,428.50,#N/A,#N/A,#N/A
3/12/20 3:15,3/12/20 4:15,0,0,34,428.50,#N/A,#N/A,#N/A
3/12/20 3:20,3/12/20 4:20,0.001666667,0.10000002,34,429.00,#N/A,#N/A,#N/A
3/12/20 3:25,3/12/20 4:25,0,0,34,429.00,#N/A,#N/A,#N/A
3/12/20 3:30,3/12/20 4:30,0.001666667,0.10000002,34,429.50,#N/A,#N/A,#N/A
3/12/20 3:35,3/12/20 4:35,0,0,34,429.50,#N/A,#N/A,#N/A
3/12/20 3:40,3/12/20 4:40,0.001666667,0.10000002,34,430.00,#N/A,#N/A,#N/A
3/12/20 3:45,3/12/20 4:45,0,0,34,430.00,#N/A,#N/A,#N/A
3/12/20 3:50,3/12/20 4:50,0.001666667,0.10000002,34,430.50,#N/A,#N/A,#N/A
3/12/20 3:55,3/12/20 4:55,0,0,34,430.50,#N/A,#N/A,#N/A
3/12/20 4:00,3/12/20 5:00,0.001666667,0.10000002,34,431.00,#N/A,#N/A,#N/A
3/12/20 4:05,3/12/20 5:05,0,0,34,431.00,#N/A,#N/A,#N/A
3/12/20 4:10,3/12/20 5:10,0.001666667,0.10000002,34,431.50,#N/A,#N/A,#N/A
3/12/20 4:15,3/12/20 5:15,0,0,34,431.50,#N/A,#N/A,#N/A
3/12/20 4:20,3/12/20 5:20,0,0,34,431.50,#N/A,#N/A,#N/A
3/12/20 4:25,3/12/20 5:25,0.001666667,0.10000002,34,432.00,#N/A,#N/A,#N/A
3/12/20 4:30,3/12/20 5:30,0,0,34,432.00,#N/A,#N/A,#N/A
3/12/20 4:35,3/12/20 5:35,0.001666667,0.10000002,34,432.50,#N/A,#N/A,#N/A
3/12/20 4:40,3/12/20 5:40,0,0,34,432.50,#N/A,#N/A,#N/A
3/12/20 4:45,3/12/20 5:45,0.001666667,0.10000002,34,433.00,#N/A,#N/A,#N/A
3/12/20 4:50,3/12/20 5:50,0,0,34,433.00,#N/A,#N/A,#N/A
3/12/20 4:55,3/12/20 5:55,0.001666667,0.10000002,34,433.50,#N/A,#N/A,#N/A
3/12/20 5:00,3/12/20 6:00,0,0,34,433.50,#N/A,#N/A,#N/A
3/12/20 5:05,3/12/20 6:05,0.001666667,0.10000002,34,434.00,#N/A,#N/A,#N/A
3/12/20 5:10,3/12/20 6:10,0,0,34,434.00,#N/A,#N/A,#N/A
3/12/20 5:15,3/12/20 6:15,0,0,34,434.00,#N/A,#N/A,#N/A
3/12/20 5:20,3/12/20 6:20,0.001666667,0.10000002,34,434.50,#N/A,#N/A,#N/A
3/12/20 5:25,3/12/20 6:25,0,0,34,434.50,#N/A,#N/A,#N/A
3/12/20 5:30,3/12/20 6:30,0.001666667,0.10000002,34,435.00,#N/A,#N/A,#N/A
3/12/20 5:35,3/12/20 6:35,0,0,34,435.00,#N/A,#N/A,#N/A
3/12/20 5:40,3/12/20 6:40,0.001666667,0.10000002,34,435.50,#N/A,#N/A,#N/A
3/12/20 5:45,3/12/20 6:45,0,0,34,435.50,#N/A,#N/A,#N/A
3/12/20 5:50,3/12/20 6:50,0.001666667,0.10000002,34,436.00,#N/A,#N/A,#N/A
3/12/20 5:55,3/12/20 6:55,0,0,34,436.00,#N/A,#N/A,#N/A
3/12/20 6:00,3/12/20 7:00,0.001666667,0.10000002,34,436.50,#N/A,#N/A,#N/A
3/12/20 6:05,3/12/20 7:05,0,0,34,436.50,#N/A,#N/A,#N/A
3/12/20 6:10,3/12/20 7:10,0,0,34,436.50,#N/A,#N/A,#N/A
3/12/20 6:15,3/12/20 7:15,0.001666667,0.10000002,34,437.00,#N/A,#N/A,#N/A
3/12/20 6:20,3/12/20 7:20,0,0,34,437.00,#N/A,#N/A,#N/A
3/12/20 6:25,3/12/20 7:25,0.001666667,0.10000002,34,437.50,#N/A,#N/A,437.5000089
3/12/20 6:30,3/12/20 7:30,0,0,35,437.50,0,35,#N/A
3/12/20 6:35,3/12/20 7:35,0,0,35,437.50,#N/A,#N/A,#N/A
3/12/20 6:40,3/12/20 7:40,0,0,35,437.50,#N/A,#N/A,#N/A
3/12/20 6:45,3/12/20 7:45,0.001666667,0.10000002,35,438.00,#N/A,#N/A,#N/A
3/12/20 6:50,3/12/20 7:50,0,0,35,438.00,#N/A,#N/A,#N/A
3/12/20 6:55,3/12/20 7:55,0,0,35,438.00,#N/A,#N/A,#N/A
3/12/20 7:00,3/12/20 8:00,0.001666667,0.10000002,35,438.50,#N/A,#N/A,#N/A
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
