Date/Time,Actual time (daylight savings adj),Q_IN_litsec_Avg,q l/min,Sample_Count(INF),tot volume (L),sample point,sample number,volume,
5/19/20 14:55,5/19/20 15:55,0.001666667,0.10000002,3,291.0000057,#N/A,#N/A,#N/A,
5/19/20 15:00,5/19/20 16:00,0.09333333,5.5999998,3,319.0000047,#N/A,#N/A,#N/A,
5/19/20 15:05,5/19/20 16:05,0.1033333,6.199998,3,349.9999947,#N/A,#N/A,#N/A,
5/19/20 15:10,5/19/20 16:10,0.1033333,6.199998,3,380.9999847,#N/A,#N/A,#N/A,
5/19/20 15:15,5/19/20 16:15,0.1033333,6.199998,3,411.9999747,#N/A,#N/A,#N/A,
5/19/20 15:20,5/19/20 16:20,0.1033333,6.199998,3,442.9999647,#N/A,#N/A,#N/A,
5/19/20 15:25,5/19/20 16:25,0.1016667,6.100002,3,473.4999747,#N/A,#N/A,#N/A,
5/19/20 15:30,5/19/20 16:30,0.1033333,6.199998,3,504.4999647,#N/A,#N/A,#N/A,
5/19/20 15:35,5/19/20 16:35,0.05333333,3.1999998,3,520.4999637,#N/A,#N/A,#N/A,
5/19/20 15:40,5/19/20 16:40,0.006666667,0.40000002,3,522.4999638,#N/A,#N/A,#N/A,
5/19/20 15:45,5/19/20 16:45,0.03,1.8,3,531.4999638,#N/A,#N/A,#N/A,
5/19/20 15:50,5/19/20 16:50,0.1033333,6.199998,3,562.4999538,6.20,4,562.4999538,
5/19/20 15:55,5/19/20 16:55,0.1033333,6.199998,4,593.4999438,#N/A,#N/A,#N/A,
5/19/20 16:00,5/19/20 17:00,0.1016667,6.100002,4,623.9999538,#N/A,#N/A,#N/A,
5/19/20 16:05,5/19/20 17:05,0.1033333,6.199998,4,654.9999438,6.20,5,654.9999438,
5/19/20 16:10,5/19/20 17:10,0.1033333,6.199998,5,685.9999338,#N/A,#N/A,#N/A,
5/19/20 16:15,5/19/20 17:15,0.1,6,5,715.9999338,#N/A,#N/A,#N/A,
5/19/20 16:20,5/19/20 17:20,0.1016667,6.100002,5,746.4999438,#N/A,#N/A,#N/A,
5/19/20 16:25,5/19/20 17:25,0.1016667,6.100002,5,776.9999538,#N/A,#N/A,#N/A,
5/19/20 16:30,5/19/20 17:30,0.07666667,4.6000002,5,799.9999548,#N/A,#N/A,#N/A,
5/19/20 16:35,5/19/20 17:35,0.008333334,0.50000004,5,802.499955,#N/A,#N/A,#N/A,
5/19/20 16:40,5/19/20 17:40,0.006666667,0.40000002,5,804.4999551,#N/A,#N/A,#N/A,
5/19/20 16:45,5/19/20 17:45,0.1,6,5,834.4999551,#N/A,#N/A,#N/A,
5/19/20 16:50,5/19/20 17:50,0.1033333,6.199998,5,865.4999451,#N/A,#N/A,#N/A,
5/19/20 16:55,5/19/20 17:55,0.1016667,6.100002,5,895.9999551,#N/A,#N/A,#N/A,
5/19/20 17:00,5/19/20 18:00,0.1033333,6.199998,5,926.9999451,#N/A,#N/A,#N/A,
5/19/20 17:05,5/19/20 18:05,0.1016667,6.100002,5,957.4999551,#N/A,#N/A,#N/A,
5/19/20 17:10,5/19/20 18:10,0.1016667,6.100002,5,987.9999651,#N/A,#N/A,#N/A,
5/19/20 17:15,5/19/20 18:15,0.1016667,6.100002,5,1018.499975,#N/A,#N/A,#N/A,
5/19/20 17:20,5/19/20 18:20,0.045,2.7,5,1031.999975,#N/A,#N/A,#N/A,
5/19/20 17:25,5/19/20 18:25,0.005,0.3,5,1033.499975,#N/A,#N/A,#N/A,
5/19/20 17:30,5/19/20 18:30,0.001666667,0.10000002,5,1033.999975,#N/A,#N/A,#N/A,
5/19/20 17:35,5/19/20 18:35,0.03833333,2.2999998,5,1045.499974,#N/A,#N/A,#N/A,
5/19/20 17:40,5/19/20 18:40,0.1033333,6.199998,5,1076.499964,6.20,6,1076.499964,
5/19/20 17:45,5/19/20 18:45,0.1033333,6.199998,6,1107.499954,#N/A,#N/A,#N/A,
5/19/20 17:50,5/19/20 18:50,0.1016667,6.100002,6,1137.999964,#N/A,#N/A,#N/A,
5/19/20 17:55,5/19/20 18:55,0.1,6,6,1167.999964,#N/A,#N/A,#N/A,
5/19/20 18:00,5/19/20 19:00,0.08833333,5.2999998,6,1194.499963,5.30,7,1194.499963,
5/19/20 18:05,5/19/20 19:05,0.01166667,0.7000002,7,1197.999964,#N/A,#N/A,#N/A,
5/19/20 18:10,5/19/20 19:10,0.001666667,0.10000002,7,1198.499964,#N/A,#N/A,#N/A,
5/19/20 18:15,5/19/20 19:15,0.06833334,4.1000004,7,1218.999966,4.10,8,1218.999966,
5/19/20 18:20,5/19/20 19:20,0.08,4.8,8,1242.999966,#N/A,#N/A,#N/A,
5/19/20 18:25,5/19/20 19:25,0.08333334,5.0000004,8,1267.999968,#N/A,#N/A,#N/A,
5/19/20 18:30,5/19/20 19:30,0.08,4.8,8,1291.999968,#N/A,#N/A,#N/A,
5/19/20 18:35,5/19/20 19:35,0.02333333,1.3999998,8,1298.999967,#N/A,#N/A,#N/A,
5/19/20 18:40,5/19/20 19:40,0.003333333,0.19999998,8,1299.999967,#N/A,#N/A,#N/A,
5/19/20 18:45,5/19/20 19:45,0.006666667,0.40000002,8,1301.999967,#N/A,#N/A,#N/A,
5/19/20 18:50,5/19/20 19:50,0.02666667,1.6000002,8,1309.999968,#N/A,#N/A,#N/A,
5/19/20 18:55,5/19/20 19:55,0.02833333,1.6999998,8,1318.499967,#N/A,#N/A,#N/A,
5/19/20 19:00,5/19/20 20:00,0.02833333,1.6999998,8,1326.999966,#N/A,#N/A,#N/A,
5/19/20 19:05,5/19/20 20:05,0.02166667,1.3000002,8,1333.499967,#N/A,#N/A,#N/A,
5/19/20 19:10,5/19/20 20:10,0.003333333,0.19999998,8,1334.499967,#N/A,#N/A,#N/A,
5/19/20 19:15,5/19/20 20:15,0.001666667,0.10000002,8,1334.999967,#N/A,#N/A,#N/A,
5/19/20 19:20,5/19/20 20:20,0.001666667,0.10000002,8,1335.499967,#N/A,#N/A,#N/A,
5/19/20 19:25,5/19/20 20:25,0,0,8,1335.499967,#N/A,#N/A,#N/A,
5/19/20 19:30,5/19/20 20:30,0.001666667,0.10000002,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 19:35,5/19/20 20:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 19:40,5/19/20 20:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 19:45,5/19/20 20:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 19:50,5/19/20 20:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 19:55,5/19/20 20:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:00,5/19/20 21:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:05,5/19/20 21:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:10,5/19/20 21:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:15,5/19/20 21:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:20,5/19/20 21:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:25,5/19/20 21:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:30,5/19/20 21:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:35,5/19/20 21:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:40,5/19/20 21:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:45,5/19/20 21:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:50,5/19/20 21:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 20:55,5/19/20 21:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:00,5/19/20 22:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:05,5/19/20 22:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:10,5/19/20 22:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:15,5/19/20 22:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:20,5/19/20 22:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:25,5/19/20 22:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:30,5/19/20 22:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:35,5/19/20 22:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:40,5/19/20 22:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:45,5/19/20 22:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:50,5/19/20 22:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 21:55,5/19/20 22:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:00,5/19/20 23:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:05,5/19/20 23:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:10,5/19/20 23:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:15,5/19/20 23:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:20,5/19/20 23:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:25,5/19/20 23:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:30,5/19/20 23:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:35,5/19/20 23:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:40,5/19/20 23:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:45,5/19/20 23:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:50,5/19/20 23:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 22:55,5/19/20 23:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:00,5/20/20 0:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:05,5/20/20 0:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:10,5/20/20 0:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:15,5/20/20 0:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:20,5/20/20 0:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:25,5/20/20 0:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:30,5/20/20 0:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:35,5/20/20 0:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:40,5/20/20 0:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:45,5/20/20 0:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:50,5/20/20 0:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/19/20 23:55,5/20/20 0:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:00,5/20/20 1:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:05,5/20/20 1:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:10,5/20/20 1:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:15,5/20/20 1:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:20,5/20/20 1:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:25,5/20/20 1:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:30,5/20/20 1:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:35,5/20/20 1:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:40,5/20/20 1:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:45,5/20/20 1:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:50,5/20/20 1:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 0:55,5/20/20 1:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:00,5/20/20 2:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:05,5/20/20 2:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:10,5/20/20 2:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:15,5/20/20 2:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:20,5/20/20 2:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:25,5/20/20 2:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:30,5/20/20 2:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:35,5/20/20 2:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:40,5/20/20 2:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:45,5/20/20 2:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:50,5/20/20 2:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 1:55,5/20/20 2:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:00,5/20/20 3:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:05,5/20/20 3:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:10,5/20/20 3:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:15,5/20/20 3:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:20,5/20/20 3:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:25,5/20/20 3:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:30,5/20/20 3:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:35,5/20/20 3:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:40,5/20/20 3:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:45,5/20/20 3:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:50,5/20/20 3:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 2:55,5/20/20 3:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:00,5/20/20 4:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:05,5/20/20 4:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:10,5/20/20 4:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:15,5/20/20 4:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:20,5/20/20 4:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:25,5/20/20 4:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:30,5/20/20 4:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:35,5/20/20 4:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:40,5/20/20 4:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:45,5/20/20 4:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:50,5/20/20 4:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 3:55,5/20/20 4:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:00,5/20/20 5:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:05,5/20/20 5:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:10,5/20/20 5:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:15,5/20/20 5:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:20,5/20/20 5:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:25,5/20/20 5:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:30,5/20/20 5:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:35,5/20/20 5:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:40,5/20/20 5:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:45,5/20/20 5:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:50,5/20/20 5:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 4:55,5/20/20 5:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:00,5/20/20 6:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:05,5/20/20 6:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:10,5/20/20 6:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:15,5/20/20 6:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:20,5/20/20 6:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:25,5/20/20 6:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:30,5/20/20 6:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:35,5/20/20 6:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:40,5/20/20 6:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:45,5/20/20 6:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:50,5/20/20 6:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 5:55,5/20/20 6:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:00,5/20/20 7:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:05,5/20/20 7:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:10,5/20/20 7:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:15,5/20/20 7:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:20,5/20/20 7:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:25,5/20/20 7:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:30,5/20/20 7:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:35,5/20/20 7:35,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:40,5/20/20 7:40,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:45,5/20/20 7:45,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:50,5/20/20 7:50,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 6:55,5/20/20 7:55,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 7:00,5/20/20 8:00,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 7:05,5/20/20 8:05,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 7:10,5/20/20 8:10,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 7:15,5/20/20 8:15,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 7:20,5/20/20 8:20,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 7:25,5/20/20 8:25,0,0,8,1335.999968,#N/A,#N/A,#N/A,
5/20/20 7:30,5/20/20 8:30,0,0,8,1335.999968,#N/A,#N/A,#N/A,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
