Date/Time,Actual time (daylight savings adj),Q_404_litsec_Avg,Q l/min,Sample_Count(404),total volume,sample point,Sample number,volume,
5/19/20 15:40,5/19/20 16:40,0.06666667,4.0000002,9,414.4999962,#N/A,#N/A,#N/A,
5/19/20 15:45,5/19/20 16:45,0.05,3,9,429.4999962,#N/A,#N/A,#N/A,
5/19/20 15:50,5/19/20 16:50,0.04833333,2.8999998,9,443.9999952,#N/A,#N/A,#N/A,
5/19/20 15:55,5/19/20 16:55,0.06333333,3.7999998,9,462.9999942,#N/A,#N/A,#N/A,
5/19/20 16:00,5/19/20 17:00,0.08,4.8,10,486.9999942,#N/A,#N/A,#N/A,
5/19/20 16:05,5/19/20 17:05,0.08833333,5.2999998,10,513.4999932,5.30,11,513.4999932,
5/19/20 16:10,5/19/20 17:10,0.09,5.4,11,540.4999932,#N/A,#N/A,#N/A,
5/19/20 16:15,5/19/20 17:15,0.09166667,5.5000002,11,567.9999942,5.50,12,567.9999942,
5/19/20 16:20,5/19/20 17:20,0.09333333,5.5999998,12,595.9999932,#N/A,#N/A,#N/A,
5/19/20 16:25,5/19/20 17:25,0.095,5.7,12,624.4999932,5.70,13,624.4999932,
5/19/20 16:30,5/19/20 17:30,0.09333333,5.5999998,13,652.4999922,#N/A,#N/A,#N/A,
5/19/20 16:35,5/19/20 17:35,0.08166666,4.8999996,13,676.9999902,4.90,14,676.9999902,
5/19/20 16:40,5/19/20 17:40,0.06666667,4.0000002,14,696.9999912,#N/A,#N/A,#N/A,
5/19/20 16:45,5/19/20 17:45,0.06,3.6,14,714.9999912,#N/A,#N/A,#N/A,
5/19/20 16:50,5/19/20 17:50,0.06666667,4.0000002,14,734.9999922,4.00,15,734.9999922,
5/19/20 16:55,5/19/20 17:55,0.08333334,5.0000004,15,759.9999942,#N/A,#N/A,#N/A,
5/19/20 17:00,5/19/20 18:00,0.09,5.4,15,786.9999942,5.40,16,786.9999942,
5/19/20 17:05,5/19/20 18:05,0.095,5.7,16,815.4999942,#N/A,#N/A,#N/A,
5/19/20 17:10,5/19/20 18:10,0.09666666,5.7999996,16,844.4999922,5.80,17,844.4999922,
5/19/20 17:15,5/19/20 18:15,0.09833333,5.8999998,17,873.9999912,#N/A,#N/A,#N/A,
5/19/20 17:20,5/19/20 18:20,0.09333333,5.5999998,17,901.9999902,5.60,18,901.9999902,
5/19/20 17:25,5/19/20 18:25,0.07666667,4.6000002,18,924.9999912,#N/A,#N/A,#N/A,
5/19/20 17:30,5/19/20 18:30,0.065,3.9,18,944.4999912,#N/A,#N/A,#N/A,
5/19/20 17:35,5/19/20 18:35,0.05833333,3.4999998,18,961.9999902,3.50,19,961.9999902,
5/19/20 17:40,5/19/20 18:40,0.055,3.3,19,978.4999902,#N/A,#N/A,#N/A,
5/19/20 17:45,5/19/20 18:45,0.06333333,3.7999998,19,997.4999892,#N/A,#N/A,#N/A,
5/19/20 17:50,5/19/20 18:50,0.07666667,4.6000002,19,1020.49999,4.60,20,1020.49999,
5/19/20 17:55,5/19/20 18:55,0.08666667,5.2000002,20,1046.499991,#N/A,#N/A,#N/A,
5/19/20 18:00,5/19/20 19:00,0.095,5.7,20,1074.999991,5.70,21,1074.999991,
5/19/20 18:05,5/19/20 19:05,0.08333334,5.0000004,21,1099.999993,#N/A,#N/A,#N/A,
5/19/20 18:10,5/19/20 19:10,0.06833334,4.1000004,21,1120.499995,#N/A,#N/A,#N/A,
5/19/20 18:15,5/19/20 19:15,0.06166667,3.7000002,21,1138.999996,3.70,22,1138.999996,
5/19/20 18:20,5/19/20 19:20,0.05833333,3.4999998,22,1156.499995,#N/A,#N/A,#N/A,
5/19/20 18:25,5/19/20 19:25,0.06666667,4.0000002,22,1176.499996,#N/A,#N/A,#N/A,
5/19/20 18:30,5/19/20 19:30,0.07166667,4.3000002,22,1197.999997,4.30,23,1197.999997,
5/19/20 18:35,5/19/20 19:35,0.07333333,4.3999998,23,1219.999996,#N/A,#N/A,#N/A,
5/19/20 18:40,5/19/20 19:40,0.065,3.9,23,1239.499996,#N/A,#N/A,#N/A,
5/19/20 18:45,5/19/20 19:45,0.05666666,3.3999996,23,1256.499994,3.40,24,1256.499994,
5/19/20 18:50,5/19/20 19:50,0.05166667,3.1000002,24,1271.999995,#N/A,#N/A,#N/A,
5/19/20 18:55,5/19/20 19:55,0.04833333,2.8999998,24,1286.499994,#N/A,#N/A,#N/A,
5/19/20 19:00,5/19/20 20:00,0.04666667,2.8000002,24,1300.499995,#N/A,#N/A,#N/A,
5/19/20 19:05,5/19/20 20:05,0.045,2.7,24,1313.999995,2.70,25,1313.999995,
5/19/20 19:10,5/19/20 20:10,0.04166667,2.5000002,25,1326.499996,#N/A,#N/A,#N/A,
5/19/20 19:15,5/19/20 20:15,0.04,2.4,25,1338.499996,#N/A,#N/A,#N/A,
5/19/20 19:20,5/19/20 20:20,0.03833333,2.2999998,25,1349.999995,#N/A,#N/A,#N/A,
5/19/20 19:25,5/19/20 20:25,0.03666667,2.2000002,25,1360.999996,#N/A,#N/A,#N/A,
5/19/20 19:30,5/19/20 20:30,0.035,2.1,25,1371.499996,2.10,26,1371.499996,
5/19/20 19:35,5/19/20 20:35,0.03166667,1.9000002,26,1380.999997,#N/A,#N/A,#N/A,
5/19/20 19:40,5/19/20 20:40,0.03166667,1.9000002,26,1390.499998,#N/A,#N/A,#N/A,
5/19/20 19:45,5/19/20 20:45,0.02833333,1.6999998,26,1398.999997,#N/A,#N/A,#N/A,
5/19/20 19:50,5/19/20 20:50,0.02833333,1.6999998,26,1407.499996,#N/A,#N/A,#N/A,
5/19/20 19:55,5/19/20 20:55,0.02666667,1.6000002,26,1415.499997,#N/A,#N/A,#N/A,
5/19/20 20:00,5/19/20 21:00,0.025,1.5,26,1422.999997,#N/A,#N/A,#N/A,
5/19/20 20:05,5/19/20 21:05,0.006666667,0.40000002,26,1424.999997,#N/A,#N/A,#N/A,
5/19/20 20:10,5/19/20 21:10,0,0,26,1424.999997,#N/A,#N/A,#N/A,
5/19/20 20:15,5/19/20 21:15,0,0,26,1424.999997,#N/A,#N/A,#N/A,
5/19/20 20:20,5/19/20 21:20,0,0,26,1424.999997,#N/A,#N/A,#N/A,
5/19/20 20:25,5/19/20 21:25,0,0,26,1424.999997,#N/A,#N/A,#N/A,
5/19/20 20:30,5/19/20 21:30,0.001666667,0.10000002,26,1425.499997,#N/A,#N/A,#N/A,
5/19/20 20:35,5/19/20 21:35,0.003333333,0.19999998,26,1426.499997,#N/A,#N/A,#N/A,
5/19/20 20:40,5/19/20 21:40,0.003333333,0.19999998,26,1427.499997,#N/A,#N/A,#N/A,
5/19/20 20:45,5/19/20 21:45,0.005,0.3,26,1428.999997,#N/A,#N/A,#N/A,
5/19/20 20:50,5/19/20 21:50,0.003333333,0.19999998,26,1429.999997,#N/A,#N/A,#N/A,
5/19/20 20:55,5/19/20 21:55,0.005,0.3,26,1431.499997,#N/A,#N/A,#N/A,
5/19/20 21:00,5/19/20 22:00,0.003333333,0.19999998,26,1432.499997,#N/A,#N/A,#N/A,
5/19/20 21:05,5/19/20 22:05,0.003333333,0.19999998,26,1433.499997,#N/A,#N/A,#N/A,
5/19/20 21:10,5/19/20 22:10,0.005,0.3,26,1434.999997,#N/A,#N/A,#N/A,
5/19/20 21:15,5/19/20 22:15,0.003333333,0.19999998,26,1435.999997,#N/A,#N/A,#N/A,
5/19/20 21:20,5/19/20 22:20,0.003333333,0.19999998,26,1436.999997,#N/A,#N/A,#N/A,
5/19/20 21:25,5/19/20 22:25,0.003333333,0.19999998,26,1437.999997,#N/A,#N/A,#N/A,
5/19/20 21:30,5/19/20 22:30,0.003333333,0.19999998,26,1438.999997,0.20,27,1438.999997,
5/19/20 21:35,5/19/20 22:35,0.003333333,0.19999998,27,1439.999996,#N/A,#N/A,#N/A,
5/19/20 21:40,5/19/20 22:40,0.003333333,0.19999998,27,1440.999996,#N/A,#N/A,#N/A,
5/19/20 21:45,5/19/20 22:45,0.003333333,0.19999998,27,1441.999996,#N/A,#N/A,#N/A,
5/19/20 21:50,5/19/20 22:50,0.001666667,0.10000002,27,1442.499996,#N/A,#N/A,#N/A,
5/19/20 21:55,5/19/20 22:55,0.003333333,0.19999998,27,1443.499996,#N/A,#N/A,#N/A,
5/19/20 22:00,5/19/20 23:00,0.003333333,0.19999998,27,1444.499996,#N/A,#N/A,#N/A,
5/19/20 22:05,5/19/20 23:05,0.003333333,0.19999998,27,1445.499996,#N/A,#N/A,#N/A,
5/19/20 22:10,5/19/20 23:10,0.001666667,0.10000002,27,1445.999996,#N/A,#N/A,#N/A,
5/19/20 22:15,5/19/20 23:15,0.003333333,0.19999998,27,1446.999996,#N/A,#N/A,#N/A,
5/19/20 22:20,5/19/20 23:20,0.001666667,0.10000002,27,1447.499996,#N/A,#N/A,#N/A,
5/19/20 22:25,5/19/20 23:25,0.003333333,0.19999998,27,1448.499996,#N/A,#N/A,#N/A,
5/19/20 22:30,5/19/20 23:30,0.001666667,0.10000002,27,1448.999996,#N/A,#N/A,#N/A,
5/19/20 22:35,5/19/20 23:35,0.003333333,0.19999998,27,1449.999996,#N/A,#N/A,#N/A,
5/19/20 22:40,5/19/20 23:40,0.001666667,0.10000002,27,1450.499996,#N/A,#N/A,#N/A,
5/19/20 22:45,5/19/20 23:45,0.001666667,0.10000002,27,1450.999996,#N/A,#N/A,#N/A,
5/19/20 22:50,5/19/20 23:50,0.003333333,0.19999998,27,1451.999996,#N/A,#N/A,#N/A,
5/19/20 22:55,5/19/20 23:55,0.001666667,0.10000002,27,1452.499996,#N/A,#N/A,#N/A,
5/19/20 23:00,5/20/20 0:00,0.001666667,0.10000002,27,1452.999996,#N/A,#N/A,#N/A,
5/19/20 23:05,5/20/20 0:05,0.001666667,0.10000002,27,1453.499996,#N/A,#N/A,#N/A,
5/19/20 23:10,5/20/20 0:10,0.001666667,0.10000002,27,1453.999997,#N/A,#N/A,#N/A,
5/19/20 23:15,5/20/20 0:15,0.001666667,0.10000002,27,1454.499997,#N/A,#N/A,#N/A,
5/19/20 23:20,5/20/20 0:20,0.001666667,0.10000002,27,1454.999997,#N/A,#N/A,#N/A,
5/19/20 23:25,5/20/20 0:25,0.001666667,0.10000002,27,1455.499997,#N/A,#N/A,#N/A,
5/19/20 23:30,5/20/20 0:30,0.001666667,0.10000002,27,1455.999997,#N/A,#N/A,#N/A,
5/19/20 23:35,5/20/20 0:35,0.001666667,0.10000002,27,1456.499997,#N/A,#N/A,#N/A,
5/19/20 23:40,5/20/20 0:40,0.001666667,0.10000002,27,1456.999997,#N/A,#N/A,#N/A,
5/19/20 23:45,5/20/20 0:45,0.001666667,0.10000002,27,1457.499997,#N/A,#N/A,#N/A,
5/19/20 23:50,5/20/20 0:50,0.001666667,0.10000002,27,1457.999997,#N/A,#N/A,#N/A,
5/19/20 23:55,5/20/20 0:55,0.001666667,0.10000002,27,1458.499997,#N/A,#N/A,#N/A,
5/20/20 0:00,5/20/20 1:00,0.001666667,0.10000002,27,1458.999998,#N/A,#N/A,#N/A,
5/20/20 0:05,5/20/20 1:05,0,0,27,1458.999998,#N/A,#N/A,#N/A,
5/20/20 0:10,5/20/20 1:10,0.001666667,0.10000002,27,1459.499998,#N/A,#N/A,#N/A,
5/20/20 0:15,5/20/20 1:15,0.001666667,0.10000002,27,1459.999998,#N/A,#N/A,#N/A,
5/20/20 0:20,5/20/20 1:20,0.001666667,0.10000002,27,1460.499998,#N/A,#N/A,#N/A,
5/20/20 0:25,5/20/20 1:25,0,0,27,1460.499998,#N/A,#N/A,#N/A,
5/20/20 0:30,5/20/20 1:30,0.001666667,0.10000002,27,1460.999998,#N/A,#N/A,#N/A,
5/20/20 0:35,5/20/20 1:35,0.001666667,0.10000002,27,1461.499998,#N/A,#N/A,#N/A,
5/20/20 0:40,5/20/20 1:40,0,0,27,1461.499998,#N/A,#N/A,#N/A,
5/20/20 0:45,5/20/20 1:45,0.001666667,0.10000002,27,1461.999998,#N/A,#N/A,#N/A,
5/20/20 0:50,5/20/20 1:50,0,0,27,1461.999998,#N/A,#N/A,#N/A,
5/20/20 0:55,5/20/20 1:55,0.001666667,0.10000002,27,1462.499998,#N/A,#N/A,#N/A,
5/20/20 1:00,5/20/20 2:00,0,0,27,1462.499998,#N/A,#N/A,#N/A,
5/20/20 1:05,5/20/20 2:05,0.001666667,0.10000002,27,1462.999998,#N/A,#N/A,#N/A,
5/20/20 1:10,5/20/20 2:10,0.001666667,0.10000002,27,1463.499998,#N/A,#N/A,#N/A,
5/20/20 1:15,5/20/20 2:15,0,0,27,1463.499998,#N/A,#N/A,#N/A,
5/20/20 1:20,5/20/20 2:20,0.001666667,0.10000002,27,1463.999999,#N/A,#N/A,#N/A,
5/20/20 1:25,5/20/20 2:25,0,0,27,1463.999999,#N/A,#N/A,#N/A,
5/20/20 1:30,5/20/20 2:30,0,0,27,1463.999999,#N/A,#N/A,#N/A,
5/20/20 1:35,5/20/20 2:35,0.001666667,0.10000002,27,1464.499999,#N/A,#N/A,#N/A,
5/20/20 1:40,5/20/20 2:40,0,0,27,1464.499999,#N/A,#N/A,#N/A,
5/20/20 1:45,5/20/20 2:45,0.001666667,0.10000002,27,1464.999999,#N/A,#N/A,#N/A,
5/20/20 1:50,5/20/20 2:50,0,0,27,1464.999999,#N/A,#N/A,#N/A,
5/20/20 1:55,5/20/20 2:55,0.001666667,0.10000002,27,1465.499999,#N/A,#N/A,#N/A,
5/20/20 2:00,5/20/20 3:00,0,0,27,1465.499999,#N/A,#N/A,#N/A,
5/20/20 2:05,5/20/20 3:05,0,0,27,1465.499999,#N/A,#N/A,#N/A,
5/20/20 2:10,5/20/20 3:10,0.001666667,0.10000002,27,1465.999999,#N/A,#N/A,#N/A,
5/20/20 2:15,5/20/20 3:15,0,0,27,1465.999999,#N/A,#N/A,#N/A,
5/20/20 2:20,5/20/20 3:20,0,0,27,1465.999999,#N/A,#N/A,#N/A,
5/20/20 2:25,5/20/20 3:25,0.001666667,0.10000002,27,1466.499999,#N/A,#N/A,#N/A,
5/20/20 2:30,5/20/20 3:30,0,0,27,1466.499999,#N/A,#N/A,#N/A,
5/20/20 2:35,5/20/20 3:35,0,0,27,1466.499999,#N/A,#N/A,#N/A,
5/20/20 2:40,5/20/20 3:40,0.001666667,0.10000002,27,1466.999999,#N/A,#N/A,#N/A,
5/20/20 2:45,5/20/20 3:45,0,0,27,1466.999999,#N/A,#N/A,#N/A,
5/20/20 2:50,5/20/20 3:50,0,0,27,1466.999999,#N/A,#N/A,#N/A,
5/20/20 2:55,5/20/20 3:55,0.001666667,0.10000002,27,1467.499999,#N/A,#N/A,#N/A,
5/20/20 3:00,5/20/20 4:00,0,0,27,1467.499999,#N/A,#N/A,#N/A,
5/20/20 3:05,5/20/20 4:05,0,0,27,1467.499999,#N/A,#N/A,#N/A,
5/20/20 3:10,5/20/20 4:10,0,0,27,1467.499999,#N/A,#N/A,#N/A,
5/20/20 3:15,5/20/20 4:15,0.001666667,0.10000002,27,1467.999999,#N/A,#N/A,#N/A,
5/20/20 3:20,5/20/20 4:20,0,0,27,1467.999999,#N/A,#N/A,#N/A,
5/20/20 3:25,5/20/20 4:25,0,0,27,1467.999999,#N/A,#N/A,#N/A,
5/20/20 3:30,5/20/20 4:30,0,0,27,1467.999999,#N/A,#N/A,#N/A,
5/20/20 3:35,5/20/20 4:35,0.001666667,0.10000002,27,1468.499999,#N/A,#N/A,#N/A,
5/20/20 3:40,5/20/20 4:40,0,0,27,1468.499999,#N/A,#N/A,#N/A,
5/20/20 3:45,5/20/20 4:45,0,0,27,1468.499999,#N/A,#N/A,#N/A,
5/20/20 3:50,5/20/20 4:50,0,0,27,1468.499999,#N/A,#N/A,#N/A,
5/20/20 3:55,5/20/20 4:55,0,0,27,1468.499999,#N/A,#N/A,#N/A,
5/20/20 4:00,5/20/20 5:00,0.001666667,0.10000002,27,1469,#N/A,#N/A,#N/A,
5/20/20 4:05,5/20/20 5:05,0,0,27,1469,#N/A,#N/A,#N/A,
5/20/20 4:10,5/20/20 5:10,0,0,27,1469,#N/A,#N/A,#N/A,
5/20/20 4:15,5/20/20 5:15,0,0,27,1469,#N/A,#N/A,#N/A,
5/20/20 4:20,5/20/20 5:20,0.001666667,0.10000002,27,1469.5,#N/A,#N/A,#N/A,
5/20/20 4:25,5/20/20 5:25,0,0,27,1469.5,#N/A,#N/A,#N/A,
5/20/20 4:30,5/20/20 5:30,0,0,27,1469.5,#N/A,#N/A,#N/A,
5/20/20 4:35,5/20/20 5:35,0,0,27,1469.5,#N/A,#N/A,#N/A,
5/20/20 4:40,5/20/20 5:40,0,0,27,1469.5,#N/A,#N/A,#N/A,
5/20/20 4:45,5/20/20 5:45,0.001666667,0.10000002,27,1470,#N/A,#N/A,#N/A,
5/20/20 4:50,5/20/20 5:50,0,0,27,1470,#N/A,#N/A,#N/A,
5/20/20 4:55,5/20/20 5:55,0,0,27,1470,#N/A,#N/A,#N/A,
5/20/20 5:00,5/20/20 6:00,0,0,27,1470,#N/A,#N/A,#N/A,
5/20/20 5:05,5/20/20 6:05,0,0,27,1470,#N/A,#N/A,#N/A,
5/20/20 5:10,5/20/20 6:10,0.001666667,0.10000002,27,1470.5,#N/A,#N/A,#N/A,
5/20/20 5:15,5/20/20 6:15,0,0,27,1470.5,#N/A,#N/A,#N/A,
5/20/20 5:20,5/20/20 6:20,0,0,27,1470.5,#N/A,#N/A,#N/A,
5/20/20 5:25,5/20/20 6:25,0,0,27,1470.5,#N/A,#N/A,#N/A,
5/20/20 5:30,5/20/20 6:30,0,0,27,1470.5,#N/A,#N/A,#N/A,
5/20/20 5:35,5/20/20 6:35,0,0,27,1470.5,#N/A,#N/A,#N/A,
5/20/20 5:40,5/20/20 6:40,0.001666667,0.10000002,27,1471,#N/A,#N/A,#N/A,
5/20/20 5:45,5/20/20 6:45,0,0,27,1471,#N/A,#N/A,#N/A,
5/20/20 5:50,5/20/20 6:50,0,0,27,1471,#N/A,#N/A,#N/A,
5/20/20 5:55,5/20/20 6:55,0,0,27,1471,#N/A,#N/A,#N/A,
5/20/20 6:00,5/20/20 7:00,0,0,27,1471,#N/A,#N/A,#N/A,
5/20/20 6:05,5/20/20 7:05,0,0,27,1471,#N/A,#N/A,#N/A,
5/20/20 6:10,5/20/20 7:10,0,0,27,1471,#N/A,#N/A,#N/A,
5/20/20 6:15,5/20/20 7:15,0.001666667,0.10000002,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 6:20,5/20/20 7:20,0,0,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 6:25,5/20/20 7:25,0,0,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 6:30,5/20/20 7:30,0,0,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 6:35,5/20/20 7:35,0,0,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 6:40,5/20/20 7:40,0,0,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 6:45,5/20/20 7:45,0,0,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 6:50,5/20/20 7:50,0,0,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 6:55,5/20/20 7:55,0,0,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 7:00,5/20/20 8:00,0,0,27,1471.5,#N/A,#N/A,#N/A,
5/20/20 7:05,5/20/20 8:05,0.001666667,0.10000002,27,1472,#N/A,#N/A,#N/A,
5/20/20 7:10,5/20/20 8:10,0,0,27,1472,#N/A,#N/A,#N/A,
5/20/20 7:15,5/20/20 8:15,0,0,27,1472,#N/A,#N/A,#N/A,
5/20/20 7:20,5/20/20 8:20,0,0,27,1472,#N/A,#N/A,#N/A,
5/20/20 7:25,5/20/20 8:25,0,0,27,1472,#N/A,#N/A,#N/A,
5/20/20 7:30,5/20/20 8:30,0,0,27,1472,#N/A,#N/A,#N/A,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
